"# of Use","Anzahl Verwendungen"
"%1$s incl tax.","%1$s inkl. MwSt."
"%s - %s","%s - %s"
"%s Item(s)","%s Artikel"
"(Copy data from: %s)","(Kopiere Daten von: %s)"
"Unable to find an attribute to delete","Es wurde kein Attribut zum Löschen gefunden"
"Unable to get product id.","Produkt-ID konnte nicht abgefragt werden."
"Unassigned Attributes","Nicht zugewiesene Attribute"
"Unique Value","Einmaliger Wert"
"Unique Value (not shared with other products)","Einmaliger Wert (nicht mit anderen Produkten geteilt)"
"Unknown attribute: %s","Unbekanntes Attribut: %s"
"Up-sells","Zusatzverkäufe"
"Update","Aktualisierung"
"Update Attributes","Attribute aktualisieren"
"Update Tier Price","Staffelpreis aktualisieren"
"Update assigned product","zugewiesene Produkte zuweisen"
"Update attributes","Attribute aktualisieren"
"Update category","Kategorie aktualisieren"
"Update product","Produkt aktualisieren"
"Update product image","Produktbild aktualisieren"
"Update product link","Produktlink aktualisieren"
"Update product tier prices","Produkt-Staffeloreise aktualisieren"
"Upload new product image ","Neues Produktbild hochladen "
"Url","URL"
"Url Rewrite Management","URL-Rewrite-Verwaltung"
"Url rewrie save problem.","URL-Rewrie Speicherproblem."
"Use Config Settings","Verwende Konfigurationseinstellungen"
"Use Default Value","Verwende Standardwerte"
"Use Flat Catalog Category","Flat-Katalogkategorie benutzen"
"Use Flat Catalog Product","Flat-Katalogprodukt benutzen"
"Use In Layered Navigation","Verwende in der Filter-Navigation"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Verwende in der Filter-Navigation<br/>(Kann nur mit 'Dropdown' verwendet werden)"
"Use In Search Results Layered Navigation","In den Ebenennavigation-Suchergebnissen benutzen"
"Use JavaScript Calendar","JavaScript-Kalender benutzen"
"Use To Create Configurable Product","Verwende für die Erstellung von konfigurierbaren Produkten"
"Use Tree Like Category Sitemap","Baumartiges Kategoriesitemap benutzen"
"Use categories path for product URLs","Verwende Kategoriepfad für Produkt-URLs"
"Use in advanced search","In erweiterter Suche verwenden"
"Use in quick search","In Schnellsuche verwenden"
"Used for sorting in product listing","Zum Sortieren in Produktlisten benutzt"
"Used in product listing","In Produktlisten benutzt"
"Values Required","Pflichtangabe"
"Varchar","Varchar"
"View as","Anzeigen als"
"Virtual Product","Virtuelles Produkt"
"Visibility","Sichtbarkeit"
"Visible","Sichtbar"
"Visible on Catalog Pages on Front-end","Sichtbar auf Katalogseiten im Frontend"
"Visible on Product View Page on Front-end","Sichtbar auf der Produktansicht im Frontend"
"Watermark","Wasserzeichen"
"Watermark Default Size","Wasserzeichen-Standardgrösse"
"Watermark Position","Wasserzeichen-Position"
"We Also Recommend","Wir empfehlen auch"
"Web Site Item Must be checked","Website Artikel muss ausgewählt sein"
"Web Site Store Must be checked","Website Shop muss ausgewählt sein"
"Website","Website"
"Websites","Websites"
"Wrong BuyRequest instance in options group","Falsche BuyRequest-Instanz in der Optionsgruppe"
"Wrong option instance type in options group","Falsche Option-Instanz in der Optionsgruppe"
"Wrong option type to get group instance.","Falscher Optionstyp zum laden der Gruppen-Instanz."
"Wrong product instance type in options group","Falscher Produkt-Instanztyp in der Optionsgruppe"
"Wrong quote item instance in options group","Falsche Satz-Artikel-Instanz in der Optionsgruppe"
"Wrong quote item option instance in options group","Falsche Satz-Artikel-Option-Instanz instance in der Optionsgruppe"
"Year Range","Year Range"
"Yes","Ja"
"Yes/No","Ja/Nein"
"You cannot delete this attribute","Dieses Attribut kann nicht gelöscht werden"
"You cannot edit this attribute","Dieses Attribut kann nicht bearbeitet werden"
"You cannot remove system attribute from this set.","Dieses Systemattribut kann nicht aus dieser Gruppe entfernt werden."
"You cannot update this attribute","Dieses Attribut kann nicht aktualisiert werden"
"You have no items to compare.","Es ist kein Artikel zum Vergleichen vorhanden."
"You may also be interested in the following product(s)","Vielleicht sind Sie auch an folgenden Produkten interessiert"
"Zoom In","Vergrössern"
"Zoom Out","Verkleinern"
"[GLOBAL]","[GLOBAL]"
"and","und"
"and above","und darüber"
"cache refresh needed","Cache-Aktualisierung erforderlich"
"categories","Kategorien"
"comma separated","Komma-getrennt"
"each","je"
"ex. http://domain.com","z.B. http://domain.ch"
"leave blank if its not an image","leer lassen, wenn kein Bild"
"must be in the allowed values list","muss in der Liste der erlaubten Werte sein"
"per page","pro Seite"
"products","produkte"
"px.","pz."
"save","speichern"
"select all","Alle wählen"
"unselect all","Alle abwählen"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
